location__name,location__lat,location__lon,location__localtime,current__last_updated,current__temp_c,current__temp_f,current__is_day,current__condition__text,current__wind_mph,current__wind_kph,current__wind_dir,current__pressure_mb,current__pressure_in,current__humidity,current__air_quality__co,current__air_quality__no2,current__air_quality__o3,current__air_quality__so2,current__air_quality__pm2_5,current__air_quality__pm10,current__air_quality__us-epa-index,current__air_quality__gb-defra-index
Kumanovo,42.13,21.71,2021-11-14 2:18,2021-11-14 01:00,5.7,42.3,0,Clear,2.7,4.3,SSE,1021.0,30.14,67,317.1000061035156,25.0,9.800000190734863,1.7000000476837158,29.299999237060547,34.099998474121094,2,3
Skopje,42.0,21.43,2021-11-14 2:18,2021-11-14 02:15,0.0,32.0,0,Clear,1.3,2.2,E,1021.0,30.15,93,357.20001220703125,22.299999237060547,36.5,34.79999923706055,48.5,51.599998474121094,3,6
Krusevo,41.37,21.25,2021-11-14 2:18,2021-11-14 01:00,5.3,41.5,0,Clear,0.2,0.4,S,1021.0,30.14,65,237.0,9.800000190734863,21.5,7.5,49.900001525878906,53.5,3,6
Veles,41.72,21.78,2021-11-14 2:18,2021-11-14 01:00,6.7,44.1,0,Overcast,1.1,1.8,SSE,1021.0,30.15,70,243.6999969482422,11.800000190734863,37.900001525878906,18.799999237060547,43.70000076293945,50.400001525878906,3,5
Kavadarci,41.43,22.01,2021-11-14 2:18,2021-11-14 02:15,4.3,39.7,0,Overcast,1.6,2.5,SE,1021.0,30.15,68,227.0,5.900000095367432,41.099998474121094,0.6000000238418579,7.0,9.699999809265137,1,1
Negotino,41.48,22.09,2021-11-14 2:18,2021-11-14 02:15,4.3,39.7,0,Overcast,1.6,2.5,SE,1021.0,30.15,68,227.0,5.900000095367432,41.099998474121094,0.6000000238418579,7.0,9.699999809265137,1,1
Ohrid,41.12,20.8,2021-11-14 2:18,2021-11-14 02:15,5.0,41.0,0,Clear,0.9,1.4,SSW,1019.0,30.09,69,260.3999938964844,12.199999809265137,40.400001525878906,4.599999904632568,21.200000762939453,24.299999237060547,2,2
Struga,41.18,20.68,2021-11-14 2:18,2021-11-14 02:15,5.1,41.2,0,Clear,0.4,0.7,NE,1019.0,30.1,73,257.0,8.300000190734863,49.400001525878906,6.0,20.0,22.5,2,2
Prilep,41.35,21.55,2021-11-14 2:18,2021-11-14 02:15,5.3,41.5,0,Clear,0.2,0.4,S,1021.0,30.14,65,237.0,9.800000190734863,21.5,7.5,49.900001525878906,53.5,3,6
Bitola,41.03,21.34,2021-11-14 2:18,2021-11-14 02:15,7.9,46.2,0,Clear,1.8,2.9,SSW,1020.0,30.11,69,213.60000610351562,4.300000190734863,46.5,2.9000000953674316,12.899999618530273,14.699999809265137,1,2
Demir Kapija,41.41,22.25,2021-11-14 2:18,2021-11-14 02:15,7.6,45.7,0,Overcast,3.6,5.8,ESE,1021.0,30.15,73,237.0,1.2000000476837158,70.80000305175781,0.30000001192092896,6.599999904632568,7.699999809265137,1,1
Dojran,41.19,22.72,2021-11-14 3:18,2021-11-14 03:15,6.5,43.7,0,Clear,3.1,5.0,E,1021.0,30.15,75,237.0,1.2999999523162842,78.0,0.6000000238418579,7.099999904632568,8.199999809265137,1,1
Stip,41.75,22.2,2021-11-14 2:18,2021-11-14 02:15,0.0,32.0,0,Clear,1.3,2.2,E,1021.0,30.15,93,233.6999969482422,4.699999809265137,24.0,0.20000000298023224,5.099999904632568,7.5,1,1
Delcevo,41.97,22.77,2021-11-14 2:18,2021-11-14 02:15,7.4,45.3,0,Overcast,2.5,4.0,SSE,1021.0,30.15,70,273.70001220703125,8.399999618530273,14.0,0.30000001192092896,15.199999809265137,19.299999237060547,1,2
