"location__name","location__region","location__country","location__lat","location__lon","location__tz_id","location__localtime_epoch","location__localtime","current__last_updated_epoch","current__last_updated","current__temp_c","current__temp_f","current__is_day","current__condition__text","current__condition__icon","current__condition__code","current__wind_mph","current__wind_kph","current__wind_degree","current__wind_dir","current__pressure_mb","current__pressure_in","current__precip_mm","current__precip_in","current__humidity","current__cloud","current__feelslike_c","current__feelslike_f","current__vis_km","current__vis_miles","current__uv","current__gust_mph","current__gust_kph","current__air_quality__co","current__air_quality__no2","current__air_quality__o3","current__air_quality__so2","current__air_quality__pm2_5","current__air_quality__pm10","current__air_quality__us-epa-index","current__air_quality__gb-defra-index"
"Kumanovo","Kumanovo","Macedonia","42.13","21.71","Europe/Skopje","1636852703","2021-11-14 2:18","1636848000","2021-11-14 01:00","5.7","42.3","0","Clear","//cdn.weatherapi.com/weather/64x64/night/113.png","1000","2.7","4.3","154","SSE","1021.0","30.14","0.0","0.0","67","7","5.2","41.4","10.0","6.0","1.0","5.6","9.0","317.1000061035156","25.0","9.800000190734863","1.7000000476837158","29.299999237060547","34.099998474121094","2","3"
"Skopje","Karpos","Macedonia","42.0","21.43","Europe/Skopje","1636852703","2021-11-14 2:18","1636852500","2021-11-14 02:15","0.0","32.0","0","Clear","//cdn.weatherapi.com/weather/64x64/night/113.png","1000","1.3","2.2","90","E","1021.0","30.15","0.0","0.0","93","0","0.0","32.0","10.0","6.0","1.0","0.9","1.4","357.20001220703125","22.299999237060547","36.5","34.79999923706055","48.5","51.599998474121094","3","6"
"Krusevo","Krusevo","Macedonia","41.37","21.25","Europe/Skopje","1636852703","2021-11-14 2:18","1636848000","2021-11-14 01:00","5.3","41.5","0","Clear","//cdn.weatherapi.com/weather/64x64/night/113.png","1000","0.2","0.4","180","S","1021.0","30.14","0.0","0.0","65","5","5.3","41.5","10.0","6.0","1.0","0.4","0.7","237.0","9.800000190734863","21.5","7.5","49.900001525878906","53.5","3","6"
"Veles","Veles","Macedonia","41.72","21.78","Europe/Skopje","1636852703","2021-11-14 2:18","1636848000","2021-11-14 01:00","6.7","44.1","0","Overcast","//cdn.weatherapi.com/weather/64x64/night/122.png","1009","1.1","1.8","163","SSE","1021.0","30.15","0.0","0.0","70","93","6.7","44.1","10.0","6.0","1.0","2.2","3.6","243.6999969482422","11.800000190734863","37.900001525878906","18.799999237060547","43.70000076293945","50.400001525878906","3","5"
"Kavadarci","Kavadarci","Macedonia","41.43","22.01","Europe/Skopje","1636852703","2021-11-14 2:18","1636852500","2021-11-14 02:15","4.3","39.7","0","Overcast","//cdn.weatherapi.com/weather/64x64/night/122.png","1009","1.6","2.5","144","SE","1021.0","30.15","0.0","0.0","68","100","4.3","39.7","10.0","6.0","1.0","3.4","5.4","227.0","5.900000095367432","41.099998474121094","0.6000000238418579","7.0","9.699999809265137","1","1"
"Negotino","Negotino","Macedonia","41.48","22.09","Europe/Skopje","1636852703","2021-11-14 2:18","1636852500","2021-11-14 02:15","4.3","39.7","0","Overcast","//cdn.weatherapi.com/weather/64x64/night/122.png","1009","1.6","2.5","144","SE","1021.0","30.15","0.0","0.0","68","100","4.3","39.7","10.0","6.0","1.0","3.4","5.4","227.0","5.900000095367432","41.099998474121094","0.6000000238418579","7.0","9.699999809265137","1","1"
"Ohrid","Ohrid","Macedonia","41.12","20.8","Europe/Skopje","1636852704","2021-11-14 2:18","1636852500","2021-11-14 02:15","5.0","41.0","0","Clear","//cdn.weatherapi.com/weather/64x64/night/113.png","1000","0.9","1.4","193","SSW","1019.0","30.09","0.0","0.0","69","9","5.0","41.0","10.0","6.0","1.0","1.8","2.9","260.3999938964844","12.199999809265137","40.400001525878906","4.599999904632568","21.200000762939453","24.299999237060547","2","2"
"Struga","Struga","Macedonia","41.18","20.68","Europe/Tirane","1636852704","2021-11-14 2:18","1636852500","2021-11-14 02:15","5.1","41.2","0","Clear","//cdn.weatherapi.com/weather/64x64/night/113.png","1000","0.4","0.7","45","NE","1019.0","30.1","0.0","0.0","73","10","5.1","41.2","10.0","6.0","1.0","0.9","1.4","257.0","8.300000190734863","49.400001525878906","6.0","20.0","22.5","2","2"
"Prilep","Prilep","Macedonia","41.35","21.55","Europe/Skopje","1636852704","2021-11-14 2:18","1636852500","2021-11-14 02:15","5.3","41.5","0","Clear","//cdn.weatherapi.com/weather/64x64/night/113.png","1000","0.2","0.4","180","S","1021.0","30.14","0.0","0.0","65","5","5.3","41.5","10.0","6.0","1.0","0.4","0.7","237.0","9.800000190734863","21.5","7.5","49.900001525878906","53.5","3","6"
"Bitola","Bitola","Macedonia","41.03","21.34","Europe/Skopje","1636852704","2021-11-14 2:18","1636852500","2021-11-14 02:15","7.9","46.2","0","Clear","//cdn.weatherapi.com/weather/64x64/night/113.png","1000","1.8","2.9","195","SSW","1020.0","30.11","0.0","0.0","69","8","7.9","46.2","10.0","6.0","1.0","2.7","4.3","213.60000610351562","4.300000190734863","46.5","2.9000000953674316","12.899999618530273","14.699999809265137","1","2"
